"WOLFSQUINTE_MITTELTOENIGE,""mitteltönige Wolfsquinte"", ""(2^7/5^3)*5^(1/4)"", 1.531237152, 737.637,IntervalClass.MITTELTOENIG, IntervalGeneric.Quinte,"
"QUINTE_UEBERMAESSIG_NATUERLICHE_DOPPELTERZ,""übermäßige Quinte natürliche Doppelterz"", ""5^2/2^4"", 1.5625,  772.627, IntervalClass.REIN, IntervalGeneric.Quinte,"
"QUINTE_UEBERMAESSIG,""übermäßige Quinte"", ""(3^4*5)/2^8"", 1.58203125, 794.134, IntervalClass.REIN,IntervalGeneric.Quinte,"
"SEXTE_KLEINE_TEMPERIERT,""temperierte kleine Sexte"", ""2^(8/12)"", 1.587401052, 800.000,IntervalClass.TEMPERIERT, IntervalGeneric.Sexte,"
"SEXTE_KLEIN_NATUERLICH,""natürliche kleine Sexte"", ""2^3/5"", 1.6, 813.686, IntervalClass.REIN,IntervalGeneric.Sexte,"
"SEXTE_NATUR,""Natursexte"", ""13/2^3"", 1.625, 840.528, IntervalClass.REIN, IntervalGeneric.Sexte,"
"SEXTE_GROSS_NATUERLICH,""natürliche große Sexte"", ""5/3"", 1.666666667, 884.359, IntervalClass.REIN,IntervalGeneric.Sexte,"
"SEXTE_GROSS_TEMPERIERT,""temperierte große Sexte"", ""2^(9/12)"", 1.681792831, 9000.000,IntervalClass.TEMPERIERT, IntervalGeneric.Sexte,"
"SEXTE_GROSS_PYTHAGOREISCH,""pythagoreische große Sexte"", ""3^3/2^4"", 1.6875, 905.865, IntervalClass.PYTHAGORAEISCH, IntervalGeneric.Sexte,    "
"SEPTIME_NATUR,""Naturseptime i"", ""7/2^2"", 1.75, 968.826, IntervalClass.REIN, IntervalGeneric.Septe,"
"SEPTE_KLEINE_PYTHAGOREISCH,""pythagoreische kleine Septe"", ""2^4/3^2"", 1.777777778, 996.090,IntervalClass.PYTHAGORAEISCH, IntervalGeneric.Septe,"
"SEPTE_KLEINE_TEMPERIERT,""temperierte kleine Septe"", ""2^(10/12)"", 1.781797436, 1000.000,IntervalClass.TEMPERIERT, IntervalGeneric.Septe,"
"SEPTE_KLEIN,""kleine Septe"", ""3^2/5"", 1.8, 1017.596, IntervalClass.REIN, IntervalGeneric.Septe,"
"SEPTE_GROSS,""große Septe"", ""(2*5^2)/3^3"", 1.851851852, 1066.762, IntervalClass.REIN, IntervalGeneric.Septe,"
"SEPTE_GROSS_15PARTIALTON,""große Septe - 15.PT"", ""(3*5)/2^3"", 1.875, 1088.269, IntervalClass.REIN,IntervalGeneric.Septe,"
"SEPTE_GROSS_TEMPERIERT,""temperierte große Septe"", ""2^(11/12)"", 1.887748625, 1100.000,IntervalClass.TEMPERIERT, IntervalGeneric.Septe,"
"OKTAVE,""Oktave"", ""2"", 2, 1200.000, IntervalClass.REIN, IntervalGeneric.Oktave,"
